Block,1-Feb-22,2-Feb-22,3-Feb-22,4-Feb-22,5-Feb-22,6-Feb-22,7-Feb-22,8-Feb-22,9-Feb-22,10-Feb-22,11-Feb-22,12-Feb-22,13-Feb-22,14-Feb-22,15-Feb-22,16-Feb-22,17-Feb-22,18-Feb-22,19-Feb-22,20-Feb-22,21-Feb-22,22-Feb-22,23-Feb-22,24-Feb-22,25-Feb-22,26-Feb-22,27-Feb-22,28-Feb-22
1,11347,11513,11684,11805,11930,11875,10913,12018,11910,11852,12094,11494,11148,10282,11518,11672,12016,11911,11892,11672,11605,12754,12923,12841,12864,12773,12796,11671
2,11282,11574,11639,11693,11901,11934,10872,12016,11856,11789,11967,11499,11103,10191,11493,11585,11955,11876,11858,11634,11573,12771,12870,12756,12760,12743,12849,11651
3,11300,11584,11584,11619,11989,11964,10866,11964,11821,11788,11826,11401,11051,10161,11425,11564,11895,11951,11822,11600,11479,12750,12777,12732,12705,12588,12792,11585
4,11235,11412,11485,11527,11908,11879,10738,11874,11748,11735,11757,11368,10922,10139,11352,11486,11818,11884,11801,11535,11450,12685,12669,12643,12617,12554,12732,11533
5,11183,11379,11489,11491,11857,11777,10720,11745,11595,11649,11665,11317,10895,10113,11296,11368,11646,11788,11677,11420,11317,12515,12563,12548,12477,12488,12546,11505
6,11167,11353,11438,11449,11920,11763,10725,11866,11622,11617,11575,11298,11019,10123,11196,11367,11642,11757,11611,11494,11313,12466,12513,12502,12468,12423,12586,11446
7,11202,11227,11473,11455,11864,11694,10648,11819,11562,11599,11599,11206,10981,10097,11241,11753,11624,11764,11570,11348,11278,12412,12433,12443,12492,12457,12566,11436
8,11179,11281,11406,11328,11804,11587,10641,11819,11572,11565,11571,11215,10979,10098,11203,11670,11538,11700,11454,11370,11281,12441,12417,12398,12481,12424,12511,11399
9,11069,11189,11307,11324,11820,11561,10636,11696,11446,11528,11527,11119,10911,9995,11139,11667,11499,11663,11489,11366,11305,12421,12422,12314,12362,12369,12456,11346
10,11030,11190,11318,11285,11783,11523,10639,11670,11427,11507,11547,11025,10911,10029,11197,11650,11455,11638,11501,11348,11243,12371,12398,12284,12337,12317,12494,11405
11,11091,11151,11282,11223,11760,11488,10603,11663,11414,11535,11476,11071,10874,10052,11196,11202,11455,11682,11450,11266,11204,12365,12329,12273,12316,12304,12425,11343
12,11016,11156,11212,11203,11737,11492,10558,11573,11503,11502,11384,11023,10830,9960,11186,11246,11422,11544,11419,11283,11189,12362,12291,12266,12282,12282,12449,11303
13,10906,11143,11235,11188,11582,11508,10577,11499,11495,11456,11422,11026,10856,10031,11121,11204,11452,11602,11419,11318,11209,12364,12271,12245,12277,12249,12360,11329
14,10860,11141,11170,11196,11609,11522,10558,11482,11479,11525,11450,11017,10799,10014,11083,11134,11424,11498,11431,11252,11214,12333,12241,12196,12284,12230,12207,11342
15,10858,11107,11212,11214,11655,11579,10630,11464,11487,11580,11489,10973,10797,10013,11163,10967,11508,11513,11459,11256,11214,12355,12240,12243,12113,12222,12205,11359
16,10884,11091,11172,11219,11545,11608,10609,11524,11405,11605,11371,10834,10833,10097,11088,11032,11478,11426,11472,11434,11159,12313,12238,12262,12063,12197,12162,11415
17,10783,10857,11111,11175,11553,11512,10672,11500,11303,11609,11347,10701,10902,10095,11017,11107,11270,11512,11550,11320,11119,12164,12319,12349,12117,12093,12123,11292
18,10905,10921,11070,11308,11444,11414,10622,11444,11278,11409,11476,10793,10814,10141,10992,11115,11255,11423,11607,11332,11117,12110,12088,12041,12132,12036,12024,11259
19,10961,10990,11117,11216,11545,11381,10729,11411,11385,11436,11494,10795,10726,10238,11037,11173,11340,11515,11648,11328,11175,12184,12123,12108,12164,12099,12083,11344
20,11006,11061,11152,11297,11597,11446,10634,11400,11420,11486,11629,10912,10793,10349,11107,11193,11437,11634,11768,11332,11190,12250,12038,12247,12274,12095,12083,11324
21,11096,11180,11244,11457,11655,11351,10762,11488,11474,11615,11733,10938,10840,10513,11200,11339,11520,11686,11778,11368,11378,12279,12186,12277,12326,12226,12061,11508
22,11181,11351,11420,11612,11791,11509,10923,11652,11603,11648,11879,11062,10849,10695,11397,11455,11561,11883,11897,11457,11466,12467,12263,12385,12430,12319,12104,11637
23,11390,11513,11529,11830,11929,11566,11106,11812,11909,11867,12183,11286,10851,11096,11482,11725,11765,12102,11915,11502,11667,12726,12519,12496,12575,12410,12123,11821
24,11616,11741,11781,12057,12110,11667,11415,11953,12058,12090,12424,11364,11044,11458,11658,11886,12063,12211,11933,11627,11907,12907,12693,12798,12738,12507,12114,11943
25,11901,12018,12076,12400,12330,11808,11805,12288,12497,12344,12696,11710,11157,11657,12055,12209,12336,12533,12083,11815,12250,13134,13082,13147,13102,12803,12309,12331
26,12327,12374,12493,12825,12732,11991,12220,12768,12930,12821,13102,12126,11328,11857,12414,12636,12733,12994,12333,12106,12761,13533,13596,13628,13538,13238,12504,12835
27,12813,12898,13167,13345,13367,12234,12745,13282,13461,13348,13560,12620,11748,12394,13148,13318,13407,13607,12786,12452,13540,14160,14168,14177,14143,13685,12859,13455
28,13351,13507,13699,13873,13867,12508,13352,13843,14048,14001,14094,13080,12181,12921,13589,13809,13971,14086,13174,12809,13948,14644,14649,14727,14712,14148,13185,14016
29,13752,13914,14146,14416,14283,12813,13885,14442,14574,14598,14502,13626,12443,13536,14156,14385,14493,14574,13327,13052,14425,15036,14057,15159,15115,14652,13422,14479
30,14125,14231,14473,14671,14615,13024,14159,14674,14870,14810,14751,13936,12698,13809,14472,14685,14691,14931,13614,13205,14744,15406,14376,15450,15382,14951,13519,14796
31,14273,14446,14580,14750,14722,13125,14313,14921,15057,14932,14784,14120,12777,13971,14582,14833,14963,15103,13704,13445,14902,15609,15113,14831,15532,15112,13786,14809
32,14360,14419,14686,14895,14830,13103,14353,14980,14997,14969,14684,14186,12971,13990,14433,14833,14977,15029,13790,13540,14998,15461,15178,14543,15395,15137,13851,14862
33,14376,14426,14528,14870,14785,13073,14297,14921,14882,14951,14542,14218,12969,13913,14245,14575,14957,15066,13749,13541,14879,15332,15078,15082,15174,15051,13822,14772
34,14299,14361,14441,14793,14792,13040,14156,14804,14704,14823,14381,14203,13062,13842,13895,14433,14691,14872,13920,13549,14836,15299,14904,14918,15087,15018,13827,14683
35,14179,14325,14388,14805,14979,13080,14078,14792,14652,14942,14396,14178,13178,13675,14077,14390,14614,15011,14118,13507,14719,15285,14698,14999,15027,15153,13704,14721
36,14135,14384,14365,14850,15122,13088,14237,14759,14731,14808,14243,14304,13188,13815,14073,14399,14535,15081,14006,13553,14854,15383,14722,15040,14939,15260,13846,14685
37,14354,14421,14491,14867,15150,13113,14436,14828,15067,15037,14401,14370,13087,14004,14179,14586,14652,15193,14237,13756,14977,15427,14918,15230,14622,15448,13802,14782
38,14604,14751,14697,15084,15366,13211,14689,15117,15128,15207,14617,14667,13319,14301,14461,14889,14949,15484,14454,14021,15192,15831,15298,15606,14858,15719,14057,15012
39,14850,15049,14862,15262,15561,13329,14835,15324,15420,15494,14774,14768,13306,14474,14611,14927,15127,15635,14526,14044,15396,16045,15342,15788,15186,15849,14225,15196
40,15089,15103,15065,15362,15748,13399,14864,15522,15669,15429,14857,14910,13443,14664,14766,15058,15176,15631,14666,14135,15630,16274,15427,15846,15406,16187,14287,15509
41,15060,15070,15129,15530,15817,13533,15050,15517,15538,15644,14909,14901,13388,14711,14737,15086,15521,15901,14514,14168,15654,16259,15691,15857,15521,16091,14500,15552
42,15107,15031,15179,15519,15766,13560,15095,15550,15424,15643,15044,15048,13355,14803,14702,15104,15457,16068,14464,14329,15729,16262,15658,15549,15376,16076,14454,15613
43,14946,14915,15106,15457,15723,13503,15186,15734,15397,15607,14978,14826,12862,14793,14705,15138,15434,15818,14393,14285,15775,16363,15803,15295,15391,16209,14515,15600
44,15000,14971,15106,15458,15602,13550,14995,15719,15578,15696,15122,14852,12771,14825,14696,15055,15440,15719,14432,14212,15735,16207,15618,15693,15636,16114,14479,15622
45,14935,14880,15132,15374,15385,13483,14921,15744,15461,15585,14970,14786,12913,14694,14650,15074,15370,15921,14367,14287,15698,16037,15529,15588,15577,16168,14776,15644
46,14836,14953,15104,15455,15455,13653,15063,15461,15454,15656,15064,14818,12987,14623,14741,15051,15211,16042,14488,14211,15622,16102,15537,15740,15722,16166,14652,15590
47,14897,14999,15117,15360,15476,13646,14951,15608,15414,15534,14864,14816,13237,14782,14666,15164,15287,15701,14170,14185,15690,16095,15526,15522,15504,16114,14492,15690
48,14781,14705,15056,15090,15349,13537,14920,15429,15528,15378,14868,14662,13149,14587,14637,15021,15168,15920,14149,14046,15553,15994,15296,15529,15493,15994,14429,15514
49,14767,14638,14857,15220,15175,13674,14941,15304,15153,15271,14694,14481,13049,14466,14487,15005,15057,15642,14271,13930,15396,15826,15386,15666,15280,15796,14488,15310
50,14846,14236,14885,15239,15303,13747,15075,15435,15136,15333,14611,14420,13215,14524,14588,14981,14995,15551,14209,14071,15494,15929,15415,15551,15404,15810,14542,15355
51,14831,14347,14999,15125,15106,13563,14880,15373,15221,15190,14405,14416,13121,14739,14383,15003,15028,15726,13973,13942,15298,15906,15441,15394,15482,15945,14449,15397
52,14689,14210,14840,14944,15048,13405,14767,15220,15170,15187,14424,14315,13160,14678,14343,14867,14957,15651,13915,13803,15246,15583,15337,15428,15202,15902,14452,15484
53,14432,14097,14522,14664,14741,13306,14464,14888,15063,14836,14093,14199,12801,14420,14234,14663,14692,15222,13627,13825,15172,15406,14949,15020,14916,15524,14141,15176
54,14479,14347,14436,14616,14864,13300,14616,14955,14914,15122,14180,14009,12717,14244,14041,14530,14544,15141,13573,13803,15015,15438,14754,15026,14793,15400,14125,14978
55,14249,14322,14454,14650,14915,13308,14430,14910,14756,15037,14189,14059,12636,14259,13950,14504,14545,14863,13485,13716,14968,15494,14696,14911,14872,15325,14402,14989
56,14186,14499,14560,14496,14780,13225,14623,14892,14213,14870,14225,13855,12641,14201,14103,14556,14421,15145,13539,13612,14937,15845,14721,15163,14969,15527,13901,14944
57,14367,14311,14538,14376,14847,13038,14447,14822,14441,15043,14203,13935,12477,14365,14283,14575,14503,14959,13319,13557,14966,15917,15053,15272,14769,15485,13789,14942
58,14222,14237,14325,14461,14629,12913,14320,14831,14505,14885,14121,13884,12621,14178,14287,14582,14616,15008,13453,13282,15080,15681,14864,15210,14724,15146,13784,14859
59,14353,14274,14378,14425,14649,12468,14572,14745,14539,15034,13981,13890,12428,14045,14251,14467,14421,14914,13380,13265,14870,15574,14914,14971,14834,15121,13745,14741
60,14239,14203,14342,14246,14690,12584,14238,14510,14463,14821,13886,13681,12203,13988,14336,14350,14398,14755,13230,12886,14842,15302,14876,14833,14800,14920,13787,14682
61,13956,14102,14151,14241,14388,12320,13936,14513,14400,14757,13855,13632,11963,13667,14348,14235,14279,14588,13279,12744,14778,15092,14775,14781,14560,14792,13570,14626
62,14020,14007,14156,14052,14231,12257,13960,14372,14388,14540,13726,13548,11991,13595,14223,14209,14164,14618,13161,12637,14716,15078,14809,14894,14502,14930,13612,14818
63,13774,14017,14198,14002,14095,12150,13977,14369,14122,14600,13695,13556,11976,13640,14161,14086,14189,14468,13124,12664,14649,14862,14592,14707,14295,14606,13340,14542
64,13995,14101,14209,13933,14148,11993,13826,14377,14180,14634,13654,13625,11815,13763,14332,14149,14235,14589,13144,12581,14716,15134,14769,14770,14404,14894,13244,14676
65,14038,14198,14123,14028,14291,12148,14051,14543,14116,14699,13588,13571,11729,13742,14126,14186,14078,14614,13291,12726,14857,15123,14810,14812,14455,15032,13356,14686
66,14190,14264,14281,14160,14463,12183,14066,14669,14284,14701,13682,13582,11690,13797,14303,14309,14246,14853,13292,12835,15063,15206,14743,15010,14674,15025,13345,14847
67,14301,14295,14330,14115,14623,12221,14122,14714,14387,14784,13710,13775,11819,13827,14492,14452,14435,14836,13409,12910,15070,15266,14818,15208,14943,15226,13107,14950
68,14357,14356,14509,14321,14638,12308,14492,14652,14447,14904,13838,13953,11912,13994,14728,14472,14557,14868,13517,13076,15193,15268,14989,15337,15047,15143,13257,15083
69,14235,14465,14572,14207,14652,12246,14529,14778,14494,14826,13953,13889,11965,14079,14771,14628,14698,14875,13607,13179,15277,15319,15095,15383,14901,15264,13259,15335
70,14345,14489,14578,14194,14602,12307,14400,14896,14581,14852,13923,13958,11935,14148,14799,14716,14598,14832,13608,13164,15265,15250,15019,15462,15093,15214,13277,15491
71,14309,14358,14598,14462,14672,12287,14507,14866,14544,14874,13971,13935,12013,14123,14868,14687,14666,14761,13601,13139,15198,15236,15010,15387,15160,15209,13282,15376
72,14451,14441,14561,14476,14712,12408,14525,14846,14564,14963,13986,13928,12075,14180,14950,14665,14792,14772,13655,13189,15314,15257,14959,15382,15265,15219,13332,15459
73,14455,14514,14533,14441,14754,12435,14573,14873,14595,14951,13972,14041,12153,14123,14890,14682,14834,14836,13609,13214,15219,15183,15004,15448,15163,15072,13297,15366
74,14622,14672,14825,14866,14928,12680,14748,15067,14849,15155,14171,14122,12407,14242,14799,14867,15080,15012,13917,13332,15505,15353,15350,15527,15335,15283,13410,15493
75,14689,14731,14905,14945,14969,12860,14867,15173,14877,15171,14302,14233,12574,14347,14849,14957,15210,15156,13969,13386,15605,15452,15410,15121,15497,15363,13526,15525
76,14652,14661,14769,14827,14986,12837,14844,15060,14797,15120,14202,14211,12565,14283,14812,14911,15080,15247,13879,13426,15546,15544,15352,15137,15444,15429,13448,15513
77,14462,14497,14615,14679,14744,12698,14716,14903,14572,14979,14056,14095,12384,14100,14594,14759,14869,15083,13719,13323,15323,15420,15096,15296,15252,15254,13436,15390
78,14226,14243,14442,14506,14546,12546,14590,14678,14373,14744,13870,13940,12254,13831,14381,14486,14612,14964,13581,13155,15197,15237,14978,15306,15119,15158,13297,15288
79,13971,14062,14199,14383,14287,12487,14294,14545,14219,14570,13738,13746,12134,13623,14207,14372,14335,14697,13466,13095,15049,15090,14826,15110,14965,14966,13213,15133
80,13876,13917,14020,14186,14101,12337,14111,14266,14046,14339,13612,13548,11998,13468,13930,14142,14084,14481,13387,13045,14780,14888,14571,14889,14641,14739,13148,14966
81,13625,13714,13776,13942,13930,12255,13829,14075,13795,14175,13381,13398,11877,13172,13714,14040,14005,14368,13178,12901,14467,14744,14484,14656,14449,14503,13091,14751
82,13531,13600,13635,13932,13807,12133,13704,13969,13650,13998,13330,13254,11790,13223,13575,13887,13804,14210,13091,12880,14524,14656,14328,14654,14367,14337,13133,14679
83,13344,13546,13472,13820,13689,12101,13620,13840,13493,13899,13073,13210,11774,13126,13459,13761,13749,14119,13111,12782,14237,14471,14216,14524,14278,14228,13065,14556
84,13250,13370,13362,13649,13595,11864,13376,13678,13259,13748,12937,13041,11663,12947,13256,13567,13565,13951,12917,12665,14117,14371,14053,14369,14217,14069,12946,14427
85,13140,13175,13224,13509,13448,11909,13251,13424,13322,13529,12832,12852,11542,12863,13036,13302,13434,13697,12765,12573,14102,14262,13887,14236,14027,13990,12863,14307
86,12979,13083,13136,13234,13283,11847,13114,13257,13192,13438,12820,12717,11460,12698,12859,13157,13393,13415,12712,12606,14019,14186,13796,14103,13961,13943,12760,14236
87,12813,12917,12913,13046,13110,11774,13040,13007,12977,13240,12590,12571,11352,12466,12728,13051,13239,13192,12495,12502,13900,14004,13853,13945,13790,13787,12702,14261
88,12589,12731,12703,12945,12918,11762,12937,12755,12832,13028,12429,12374,11203,12283,12480,12869,12987,13072,12362,12381,13689,13794,13600,13812,13443,13575,12542,14111
89,12339,12409,12422,12645,12683,11580,12708,12713,12530,12859,12215,12236,10939,12104,12204,12579,12773,12827,12074,12203,13566,13680,13629,13554,13496,13459,12489,13862
90,12112,12333,12224,12509,12619,11537,12636,12421,12343,12733,12031,12016,10778,12143,12163,12675,12594,12739,11994,12213,13477,13575,13622,13419,13301,13410,12431,13752
91,12101,12276,12155,12440,12589,11418,12561,12530,12273,12643,12121,11798,10748,12058,12122,12502,12523,12627,12050,12119,13322,13472,13494,13304,13258,13309,12368,13591
92,11954,12094,12113,12249,12428,11276,12437,12340,12130,12475,11996,11641,10618,11919,11920,12412,12388,12439,11980,11965,13162,13424,13332,13061,13095,13109,12207,13515
93,11745,11898,12043,12175,12343,11203,12356,12233,12202,12325,11949,11596,10609,11802,11839,12274,12330,12322,11976,11837,13045,13459,13261,12976,13124,13050,12193,13451
94,11587,11893,11954,12077,12265,11158,12227,12205,12181,12319,11868,11440,10529,11738,11852,12207,12247,12228,11826,11773,13140,13339,13207,13033,13094,13013,12009,13321
95,11604,11904,11982,12121,12125,11099,12203,12145,12193,12316,11796,11332,10475,11647,11792,12193,12244,12120,11799,11744,13009,13212,13105,13055,13011,12949,11993,13185
96,11611,11841,11869,11962,11983,11030,12131,12030,11960,12191,11626,11224,10356,11612,11700,12115,12080,12038,11848,11686,12908,13034,12945,12907,12928,12823,11821,13103
